Unnamed: 0,psf_over_re,obs_lr,obs_elr,e,n,Reff_fac,corr_lr,corr_elr
0,0.1,1.0,1.0,1.0,1.0,1.0,1.0396472741161158,1.0608807133866769
1,0.108,1.0,1.0,1.0,1.0,1.0,1.0467815046072415,1.0700155867959418
2,0.11599999999999999,1.0,1.0,1.0,1.0,1.0,1.0543235267060198,1.0795924469155682
3,0.124,1.0,1.0,1.0,1.0,1.0,1.0622502441730115,1.0895876849003623
4,0.132,1.0,1.0,1.0,1.0,1.0,1.0705397075359,1.0999789045917223
5,0.14,1.0,1.0,1.0,1.0,1.0,1.0791708958889283,1.1107446783764383
6,0.14800000000000002,1.0,1.0,1.0,1.0,1.0,1.0881235432629794,1.1218643534217598
7,0.15600000000000006,1.0,1.0,1.0,1.0,1.0,1.0973779994300505,1.1333178966993744
8,0.16399999999999998,1.0,1.0,1.0,1.0,1.0,1.1069151178397565,1.1450857704722457
9,0.172,1.0,1.0,1.0,1.0,1.0,1.116716165316993,1.1571488321365482
10,0.18000000000000002,1.0,1.0,1.0,1.0,1.0,1.1267627494944634,1.1694882538522406
11,0.188,1.0,1.0,1.0,1.0,1.0,1.1370367609072174,1.182085458486931
12,0.196,1.0,1.0,1.0,1.0,1.0,1.1475203273635204,1.1949220691828082
13,0.204,1.0,1.0,1.0,1.0,1.0,1.158195778708706,1.2079798704295572
14,0.212,1.0,1.0,1.0,1.0,1.0,1.169045620470515,1.221240778949912
15,0.22,1.0,1.0,1.0,1.0,1.0,1.180052515152761,1.23468682302131
16,0.228,1.0,1.0,1.0,1.0,1.0,1.1911992701545766,1.2483001290963671
17,0.236,1.0,1.0,1.0,1.0,1.0,1.202468831453019,1.2620629147672588
18,0.244,1.0,1.0,1.0,1.0,1.0,1.2138442823103253,1.2759574872592923
19,0.252,1.0,1.0,1.0,1.0,1.0,1.2253088463629647,1.289966246747643
20,0.26,1.0,1.0,1.0,1.0,1.0,1.2368458945247018,1.3040716938762709
21,0.268,1.0,1.0,1.0,1.0,1.0,1.2484389551952584,1.3182564409251956
22,0.276,1.0,1.0,1.0,1.0,1.0,1.2600717273136968,1.3325032261259555
23,0.28400000000000003,1.0,1.0,1.0,1.0,1.0,1.271728095834243,1.3467949306685518
24,0.29200000000000004,1.0,1.0,1.0,1.0,1.0,1.2833921492341647,1.3611145979789323
25,0.30000000000000004,1.0,1.0,1.0,1.0,1.0,1.295048198690236,1.375445454876115
26,0.30800000000000005,1.0,1.0,1.0,1.0,1.0,1.306680798583562,1.3897709342438218
27,0.3160000000000001,1.0,1.0,1.0,1.0,1.0,1.3182747680131555,1.4040746988742039
28,0.3240000000000001,1.0,1.0,1.0,1.0,1.0,1.3298152130174647,1.4183406661617317
29,0.332,1.0,1.0,1.0,1.0,1.0,1.3412875492205862,1.432553033344347
30,0.34,1.0,1.0,1.0,1.0,1.0,1.3526775246367249,1.4466963030069964
31,0.348,1.0,1.0,1.0,1.0,1.0,1.363971242382848,1.4607553085801275
32,0.35600000000000004,1.0,1.0,1.0,1.0,1.0,1.3751551830657365,1.4747152395829166
33,0.364,1.0,1.0,1.0,1.0,1.0,1.3862162266258773,1.4885616663780659
34,0.37200000000000005,1.0,1.0,1.0,1.0,1.0,1.3971416734370543,1.5022805642221726
35,0.38,1.0,1.0,1.0,1.0,1.0,1.4079192644770548,1.5158583364129414
36,0.38799999999999996,1.0,1.0,1.0,1.0,1.0,1.4185372004017132,1.529281836351951
37,0.396,1.0,1.0,1.0,1.0,1.0,1.4289841593714614,1.542538388359274
38,0.40399999999999997,1.0,1.0,1.0,1.0,1.0,1.4392493134966886,1.5556158070939596
39,0.412,1.0,1.0,1.0,1.0,1.0,1.4493223437853826,1.568502415452158
40,0.42,1.0,1.0,1.0,1.0,1.0,1.459193453493695,1.5811870608323968
41,0.4280000000000001,1.0,1.0,1.0,1.0,1.0,1.4688533797971417,1.5936591296751632
42,0.4360000000000001,1.0,1.0,1.0,1.0,1.0,1.4782934037169952,1.605908560201351
43,0.4440000000000001,1.0,1.0,1.0,1.0,1.0,1.4875053582529616,1.6179258532912395
44,0.4520000000000001,1.0,1.0,1.0,1.0,1.0,1.4964816346893355,1.6297020814623482
45,0.4600000000000001,1.0,1.0,1.0,1.0,1.0,1.5052151870574102,1.6412288959206547
46,0.4680000000000001,1.0,1.0,1.0,1.0,1.0,1.5136995347518616,1.652498531675208
47,0.47600000000000003,1.0,1.0,1.0,1.0,1.0,1.5219287633130352,1.6635038107209594
48,0.484,1.0,1.0,1.0,1.0,1.0,1.5298975234004901,1.6742381433086544
49,0.49200000000000005,1.0,1.0,1.0,1.0,1.0,1.537601027995666,1.6846955273337378
