Unnamed: 0,psf_over_re,obs_lr,obs_elr,e,n,Reff_fac,corr_lr,corr_elr
0,0.1,1.0,1.0,0.01,1.0,1.0,1.063700291517503,1.0689169211585627
1,0.108,1.0,1.0,0.01,1.0,1.0,1.0729610588680922,1.0787720702124926
2,0.11599999999999999,1.0,1.0,0.01,1.0,1.0,1.0826709354234243,1.0890846053242174
3,0.124,1.0,1.0,0.01,1.0,1.0,1.0928085414313287,1.0998315137895587
4,0.132,1.0,1.0,0.01,1.0,1.0,1.10335351361052,1.1109909511493998
5,0.14,1.0,1.0,0.01,1.0,1.0,1.1142862899022397,1.1225419980678886
6,0.14800000000000002,1.0,1.0,0.01,1.0,1.0,1.1255879379079792,1.134464467265285
7,0.15600000000000006,1.0,1.0,0.01,1.0,1.0,1.1372400170842885,1.146738748994342
8,0.16399999999999998,1.0,1.0,0.01,1.0,1.0,1.1492244675582235,1.1593456867949028
9,0.172,1.0,1.0,0.01,1.0,1.0,1.1615235203281957,1.1722664774683451
10,0.18000000000000002,1.0,1.0,0.01,1.0,1.0,1.1741196249368087,1.185482590746299
11,0.188,1.0,1.0,0.01,1.0,1.0,1.1869953916382283,1.1989757052126577
12,0.196,1.0,1.0,0.01,1.0,1.0,1.20013354575601,1.2127276578178987
13,0.204,1.0,1.0,0.01,1.0,1.0,1.2135168924184856,1.226720404893733
14,0.212,1.0,1.0,0.01,1.0,1.0,1.2271282902214171,1.2409359929964372
15,0.22,1.0,1.0,0.01,1.0,1.0,1.2409506326380815,1.255356538221135
16,0.228,1.0,1.0,0.01,1.0,1.0,1.2549668362004958,1.2699642128660413
17,0.236,1.0,1.0,0.01,1.0,1.0,1.2691598346298714,1.2847412385058292
18,0.244,1.0,1.0,0.01,1.0,1.0,1.283512578212312,1.2996698846714538
19,0.252,1.0,1.0,0.01,1.0,1.0,1.2980080378064267,1.3147324724406144
20,0.26,1.0,1.0,0.01,1.0,1.0,1.3126292129397203,1.3299113823263249
21,0.268,1.0,1.0,0.01,1.0,1.0,1.327359143505359,1.345189065916606
22,0.276,1.0,1.0,0.01,1.0,1.0,1.342180924613997,1.3605480607703933
23,0.28400000000000003,1.0,1.0,0.01,1.0,1.0,1.3570777241896808,1.3759710081167416
24,0.29200000000000004,1.0,1.0,0.01,1.0,1.0,1.3720328029266327,1.3914406729387436
25,0.30000000000000004,1.0,1.0,0.01,1.0,1.0,1.3870295362466734,1.4069399660522541
26,0.30800000000000005,1.0,1.0,0.01,1.0,1.0,1.4020514379164926,1.4224519678139855
27,0.3160000000000001,1.0,1.0,0.01,1.0,1.0,1.417082185000965,1.437959953115013
28,0.3240000000000001,1.0,1.0,0.01,1.0,1.0,1.4321056438440616,1.4534474173350438
29,0.332,1.0,1.0,0.01,1.0,1.0,1.4471058967832047,1.4688981029507422
30,0.34,1.0,1.0,0.01,1.0,1.0,1.462067269316691,1.484296026508381
31,0.348,1.0,1.0,0.01,1.0,1.0,1.4769743574573875,1.4996255056876389
32,0.35600000000000004,1.0,1.0,0.01,1.0,1.0,1.4918120550195977,1.5148711861996607
33,0.364,1.0,1.0,0.01,1.0,1.0,1.5065655805999298,1.530018068278839
34,0.37200000000000005,1.0,1.0,0.01,1.0,1.0,1.52122050402738,1.5450515325442329
35,0.38,1.0,1.0,0.01,1.0,1.0,1.5357627720726506,1.5599573650232579
36,0.38799999999999996,1.0,1.0,0.01,1.0,1.0,1.5501787332220713,1.574721781147231
37,0.396,1.0,1.0,0.01,1.0,1.0,1.5644551613372761,1.5893314485455694
38,0.40399999999999997,1.0,1.0,0.01,1.0,1.0,1.5785792780380457,1.603773508482877
39,0.412,1.0,1.0,0.01,1.0,1.0,1.5925387736623349,1.6180355958007349
40,0.42,1.0,1.0,0.01,1.0,1.0,1.6063218266743842,1.6321058572436697
41,0.4280000000000001,1.0,1.0,0.01,1.0,1.0,1.6199171214088983,1.645972968066429
42,0.4360000000000001,1.0,1.0,0.01,1.0,1.0,1.633313864056387,1.6596261468371896
43,0.4440000000000001,1.0,1.0,0.01,1.0,1.0,1.6465017968118458,1.6730551683686359
44,0.4520000000000001,1.0,1.0,0.01,1.0,1.0,1.6594712101258462,1.6862503747257787
45,0.4600000000000001,1.0,1.0,0.01,1.0,1.0,1.6722129530136767,1.6992026842758803
46,0.4680000000000001,1.0,1.0,0.01,1.0,1.0,1.684718441394377,1.7119035987617988
47,0.47600000000000003,1.0,1.0,0.01,1.0,1.0,1.6969796644470867,1.7243452083953308
48,0.484,1.0,1.0,0.01,1.0,1.0,1.7089891889871638,1.7365201949816798
49,0.49200000000000005,1.0,1.0,0.01,1.0,1.0,1.7207401618787268,1.7484218330998493
