Unnamed: 0,psf_over_re,obs_lr,obs_elr,e,n,Reff_fac,corr_lr,corr_elr
0,0.1,1.0,1.0,0.01,3.0,1.0,1.090097571506548,1.0914885467516535
1,0.108,1.0,1.0,0.01,3.0,1.0,1.101746657767288,1.103394826081656
2,0.11599999999999999,1.0,1.0,0.01,3.0,1.0,1.1138993411748397,1.115806499720347
3,0.124,1.0,1.0,0.01,3.0,1.0,1.1265364213978664,1.1287023927493494
4,0.132,1.0,1.0,0.01,3.0,1.0,1.1396395859360446,1.1420623811814603
5,0.14,1.0,1.0,0.01,3.0,1.0,1.1531911968476038,1.155867151028871
6,0.14800000000000002,1.0,1.0,0.01,3.0,1.0,1.167174120210718,1.1700980065334359
7,0.15600000000000006,1.0,1.0,0.01,3.0,1.0,1.1815715886074147,1.1847367162565694
8,0.16399999999999998,1.0,1.0,0.01,3.0,1.0,1.1963670896685632,1.1997653889301059
9,0.172,1.0,1.0,0.01,3.0,1.0,1.2115442755886214,1.21516637314575
10,0.18000000000000002,1.0,1.0,0.01,3.0,1.0,1.2270868898174656,1.2309221764706595
11,0.188,1.0,1.0,0.01,3.0,1.0,1.2429787080548433,1.2470154006437713
12,0.196,1.0,1.0,0.01,3.0,1.0,1.2592034913324863,1.2634286902737832
13,0.204,1.0,1.0,0.01,3.0,1.0,1.2757449494489297,1.2801446930176668
14,0.212,1.0,1.0,0.01,3.0,1.0,1.2925867133754512,1.2971460296298392
15,0.22,1.0,1.0,0.01,3.0,1.0,1.3097123155141557,1.314415272578347
16,0.228,1.0,1.0,0.01,3.0,1.0,1.327105176885919,1.3319349321544696
17,0.236,1.0,1.0,0.01,3.0,1.0,1.3447486004741402,1.3496874491763646
18,0.244,1.0,1.0,0.01,3.0,1.0,1.3626257700625264,1.3676551935201438
19,0.252,1.0,1.0,0.01,3.0,1.0,1.3807197539905143,1.385820467813603
20,0.26,1.0,1.0,0.01,3.0,1.0,1.3990135133150925,1.4041655157064368
21,0.268,1.0,1.0,0.01,3.0,1.0,1.4174899139176764,1.4226725341918
22,0.276,1.0,1.0,0.01,3.0,1.0,1.4361317421330817,1.4413236895019004
23,0.28400000000000003,1.0,1.0,0.01,3.0,1.0,1.454921723507377,1.4601011361381293
24,0.29200000000000004,1.0,1.0,0.01,3.0,1.0,1.4738425443146965,1.4789870386265909
25,0.30000000000000004,1.0,1.0,0.01,3.0,1.0,1.4928768754816633,1.497963595614695
26,0.30800000000000005,1.0,1.0,0.01,3.0,1.0,1.51200739858324,1.517013065945229
27,0.3160000000000001,1.0,1.0,0.01,3.0,1.0,1.53121683358665,1.536117796362215
28,0.3240000000000001,1.0,1.0,0.01,3.0,1.0,1.5504879680313461,1.5552602505187583
29,0.332,1.0,1.0,0.01,3.0,1.0,1.5698036873434298,1.5744230389717764
30,0.34,1.0,1.0,0.01,3.0,1.0,1.5891470059930268,1.5935889498624216
31,0.348,1.0,1.0,0.01,3.0,1.0,1.608501099213219,1.6127409799946957
32,0.35600000000000004,1.0,1.0,0.01,3.0,1.0,1.6278493350095802,1.6318623660384355
33,0.364,1.0,1.0,0.01,3.0,1.0,1.6471753062002974,1.6509366155967649
34,0.37200000000000005,1.0,1.0,0.01,3.0,1.0,1.6664628622385078,1.6699475378924498
35,0.38,1.0,1.0,0.01,3.0,1.0,1.685696140580845,1.6888792738423921
36,0.38799999999999996,1.0,1.0,0.01,3.0,1.0,1.7048595973794043,1.7077163253048533
37,0.396,1.0,1.0,0.01,3.0,1.0,1.723938037288281,1.7264435832998577
38,0.40399999999999997,1.0,1.0,0.01,3.0,1.0,1.742916642190607,1.7450463550196014
39,0.412,1.0,1.0,0.01,3.0,1.0,1.761780998667433,1.7635103894624922
40,0.42,1.0,1.0,0.01,3.0,1.0,1.7805171240458482,1.781821901541605
41,0.4280000000000001,1.0,1.0,0.01,3.0,1.0,1.799111490880283,1.7999675945357438
42,0.4360000000000001,1.0,1.0,0.01,3.0,1.0,1.8175510497378722,1.817934680768851
43,0.4440000000000001,1.0,1.0,0.01,3.0,1.0,1.835823250175937,1.8357109004210912
44,0.4520000000000001,1.0,1.0,0.01,3.0,1.0,1.8539160598169568,1.8532845383924015
45,0.4600000000000001,1.0,1.0,0.01,3.0,1.0,1.8718179814436822,1.8706444391565513
46,0.4680000000000001,1.0,1.0,0.01,3.0,1.0,1.889518068054178,1.887780019560671
47,0.47600000000000003,1.0,1.0,0.01,3.0,1.0,1.9070059358334133,1.904681279541626
48,0.484,1.0,1.0,0.01,3.0,1.0,1.9242717750144405,1.9213388107464917
49,0.49200000000000005,1.0,1.0,0.01,3.0,1.0,1.941306358618071,1.9377438030595393
