Unnamed: 0,psf_over_re,obs_lr,obs_elr,e,n,Reff_fac,corr_lr,corr_elr
0,0.1,1.0,1.0,0.01,2.0,1.0,1.0802797012243952,1.0831030660491836
1,0.108,1.0,1.0,0.01,2.0,1.0,1.0910339194851735,1.0942425379776437
2,0.11599999999999999,1.0,1.0,0.01,2.0,1.0,1.1022703502054878,1.1058687494906878
3,0.124,1.0,1.0,0.01,2.0,1.0,1.1139689432877244,1.1179598135869393
4,0.132,1.0,1.0,0.01,2.0,1.0,1.1261105824206545,1.1304949364290098
5,0.14,1.0,1.0,0.01,2.0,1.0,1.1386768712163433,1.143454175709953
6,0.14800000000000002,1.0,1.0,0.01,2.0,1.0,1.1516499624337377,1.1568182485119043
7,0.15600000000000006,1.0,1.0,0.01,2.0,1.0,1.1650124204978225,1.1705683772778854
8,0.16399999999999998,1.0,1.0,0.01,2.0,1.0,1.1787471102886737,1.1846861657368717
9,0.172,1.0,1.0,0.01,2.0,1.0,1.1928371070561616,1.1991534988096944
10,0.18000000000000002,1.0,1.0,0.01,2.0,1.0,1.2072656236231103,1.2139524620415942
11,0.188,1.0,1.0,0.01,2.0,1.0,1.2220159519643627,1.2290652771806903
12,0.196,1.0,1.0,0.01,2.0,1.0,1.2370714169137083,1.2444742512928897
13,0.204,1.0,1.0,0.01,2.0,1.0,1.2524153402346614,1.2601617373657399
14,0.212,1.0,1.0,0.01,2.0,1.0,1.2680310136477728,1.2761101047682584
15,0.22,1.0,1.0,0.01,2.0,1.0,1.2839016796725833,1.2923017182427845
16,0.228,1.0,1.0,0.01,2.0,1.0,1.300010519341482,1.308718924337371
17,0.236,1.0,1.0,0.01,2.0,1.0,1.3163406459931766,1.3253440443636073
18,0.244,1.0,1.0,0.01,2.0,1.0,1.3328751044677973,1.3421593730994827
19,0.252,1.0,1.0,0.01,2.0,1.0,1.3495968751129388,1.3591471825605679
20,0.26,1.0,1.0,0.01,2.0,1.0,1.366488882076937,1.3762897302430974
21,0.268,1.0,1.0,0.01,2.0,1.0,1.3835340054173262,1.3935692713052386
22,0.276,1.0,1.0,0.01,2.0,1.0,1.4007150965925417,1.4109680742021957
23,0.28400000000000003,1.0,1.0,0.01,2.0,1.0,1.4180149969363551,1.4284684393301852
24,0.29200000000000004,1.0,1.0,0.01,2.0,1.0,1.4354165587394947,1.446052720266125
25,0.30000000000000004,1.0,1.0,0.01,2.0,1.0,1.4529026685830961,1.4637033472161454
26,0.30800000000000005,1.0,1.0,0.01,2.0,1.0,1.4704562725854102,1.4814028523081604
27,0.3160000000000001,1.0,1.0,0.01,2.0,1.0,1.4880604032375733,1.4991338963829826
28,0.3240000000000001,1.0,1.0,0.01,2.0,1.0,1.5056982075171073,1.5168792969556506
29,0.332,1.0,1.0,0.01,2.0,1.0,1.5233529759797069,1.5346220570345583
30,0.34,1.0,1.0,0.01,2.0,1.0,1.5410081725413909,1.5523453945010683
31,0.348,1.0,1.0,0.01,2.0,1.0,1.5586474646745134,1.570032771767065
32,0.35600000000000004,1.0,1.0,0.01,2.0,1.0,1.5762547537528535,1.5876679254426114
33,0.364,1.0,1.0,0.01,2.0,1.0,1.5938142052930944,1.6052348957607132
34,0.37200000000000005,1.0,1.0,0.01,2.0,1.0,1.6113102788527296,1.6227180555213838
35,0.38,1.0,1.0,0.01,2.0,1.0,1.6287277573577779,1.64010213833275
36,0.38799999999999996,1.0,1.0,0.01,2.0,1.0,1.6460517756477464,1.6573722659429375
37,0.396,1.0,1.0,0.01,2.0,1.0,1.6632678480399936,1.6745139744728887
38,0.40399999999999997,1.0,1.0,0.01,2.0,1.0,1.6803618947310275,1.6915132393770815
39,0.412,1.0,1.0,0.01,2.0,1.0,1.6973202668682028,1.7083564989762576
40,0.42,1.0,1.0,0.01,2.0,1.0,1.7141297701417182,1.7250306764236605
41,0.4280000000000001,1.0,1.0,0.01,2.0,1.0,1.7307776867636118,1.7415231999838314
42,0.4360000000000001,1.0,1.0,0.01,2.0,1.0,1.7472517957175377,1.757822021520584
43,0.4440000000000001,1.0,1.0,0.01,2.0,1.0,1.7635403911802934,1.773915633108306
44,0.4520000000000001,1.0,1.0,0.01,2.0,1.0,1.779632299033298,1.7897930816980456
45,0.4600000000000001,1.0,1.0,0.01,2.0,1.0,1.7955168913992832,1.8054439817868466
46,0.4680000000000001,1.0,1.0,0.01,2.0,1.0,1.811184099156302,1.820858526055385
47,0.47600000000000003,1.0,1.0,0.01,2.0,1.0,1.826624422397573,1.8360274939549863
48,0.484,1.0,1.0,0.01,2.0,1.0,1.8418289388216202,1.8509422582405062
49,0.49200000000000005,1.0,1.0,0.01,2.0,1.0,1.856789310052454,1.8655947894601914
