Unnamed: 0,psf_over_re,obs_lr,obs_elr,e,n,Reff_fac,corr_lr,corr_elr
0,0.1,1.0,1.0,1.0,4.0,1.0,1.0723088590033834,1.0892265540604318
1,0.108,1.0,1.0,1.0,4.0,1.0,1.0823422837385868,1.10092543038178
2,0.11599999999999999,1.0,1.0,1.0,4.0,1.0,1.0928415344605888,1.113124573412301
3,0.124,1.0,1.0,1.0,4.0,1.0,1.1037859058556247,1.125802612605894
4,0.132,1.0,1.0,1.0,4.0,1.0,1.1151556653778154,1.1389392395765654
5,0.14,1.0,1.0,1.0,4.0,1.0,1.1269318387828378,1.1525149669899235
6,0.14800000000000002,1.0,1.0,1.0,4.0,1.0,1.1390960390357254,1.1665109367056437
7,0.15600000000000006,1.0,1.0,1.0,4.0,1.0,1.1516303287358924,1.1809087658479314
8,0.16399999999999998,1.0,1.0,1.0,4.0,1.0,1.1645171089808173,1.1956904226888727
9,0.172,1.0,1.0,1.0,4.0,1.0,1.1777390294806431,1.210838126408857
10,0.18000000000000002,1.0,1.0,1.0,4.0,1.0,1.1912789160500237,1.2263342663103878
11,0.188,1.0,1.0,1.0,4.0,1.0,1.2051197125335478,1.242161337130383
12,0.196,1.0,1.0,1.0,4.0,1.0,1.2192444348897804,1.2583018878636798
13,0.204,1.0,1.0,1.0,4.0,1.0,1.2336361356463823,1.274738482069503
14,0.212,1.0,1.0,1.0,4.0,1.0,1.2482778772982468,1.2914536680447795
15,0.22,1.0,1.0,1.0,4.0,1.0,1.2631527134884006,1.308429957555146
16,0.228,1.0,1.0,1.0,4.0,1.0,1.2782436770126462,1.3256498120452023
17,0.236,1.0,1.0,1.0,4.0,1.0,1.2935337738412263,1.3430956354243493
18,0.244,1.0,1.0,1.0,4.0,1.0,1.3090059824668134,1.3607497726578386
19,0.252,1.0,1.0,1.0,4.0,1.0,1.3246432579770142,1.3785945134949877
20,0.26,1.0,1.0,1.0,4.0,1.0,1.340428540318088,1.3966121007455716
21,0.268,1.0,1.0,1.0,4.0,1.0,1.356344766269697,1.4147847425768871
22,0.276,1.0,1.0,1.0,4.0,1.0,1.372374884692043,1.4330946283522157
23,0.28400000000000003,1.0,1.0,1.0,4.0,1.0,1.3885018746395619,1.4515239475696593
24,0.29200000000000004,1.0,1.0,1.0,4.0,1.0,1.4047087659616617,1.4700549114910666
25,0.30000000000000004,1.0,1.0,1.0,4.0,1.0,1.4209786620325149,1.488669777075962
26,0.30800000000000005,1.0,1.0,1.0,4.0,1.0,1.437294764269987,1.5073508728565228
27,0.3160000000000001,1.0,1.0,1.0,4.0,1.0,1.4536403981194204,1.5260806264078972
28,0.3240000000000001,1.0,1.0,1.0,4.0,1.0,1.469999040192069,1.5448415930844117
29,0.332,1.0,1.0,1.0,4.0,1.0,1.4863543462610322,1.5636164857072337
30,0.34,1.0,1.0,1.0,4.0,1.0,1.5026901798301688,1.5823882049032958
31,0.348,1.0,1.0,1.0,4.0,1.0,1.518990641003943,1.601139869809278
32,0.35600000000000004,1.0,1.0,1.0,4.0,1.0,1.5352400953988452,1.6198548488683964
33,0.364,1.0,1.0,1.0,4.0,1.0,1.5514232028500352,1.6385167904619258
34,0.37200000000000005,1.0,1.0,1.0,4.0,1.0,1.5675249456804057,1.6571096531319511
35,0.38,1.0,1.0,1.0,4.0,1.0,1.5835306563133276,1.6756177351668609
36,0.38799999999999996,1.0,1.0,1.0,4.0,1.0,1.5994260440250558,1.6940257033366115
37,0.396,1.0,1.0,1.0,4.0,1.0,1.615197220648025,1.712318620580826
38,0.40399999999999997,1.0,1.0,1.0,4.0,1.0,1.6308307250520955,1.7304819724692753
39,0.412,1.0,1.0,1.0,4.0,1.0,1.6463135462470995,1.7485016922711967
40,0.42,1.0,1.0,1.0,4.0,1.0,1.6616331449667092,1.766364184487127
41,0.4280000000000001,1.0,1.0,1.0,4.0,1.0,1.6767774736106182,1.784056346714379
42,0.4360000000000001,1.0,1.0,1.0,4.0,1.0,1.6917349944391442,1.8015655897348535
43,0.4440000000000001,1.0,1.0,1.0,4.0,1.0,1.7064946959315324,1.818879855731452
44,0.4520000000000001,1.0,1.0,1.0,4.0,1.0,1.7210461072363192,1.8359876345567823
45,0.4600000000000001,1.0,1.0,1.0,4.0,1.0,1.7353793106589803,1.8528779779950437
46,0.4680000000000001,1.0,1.0,1.0,4.0,1.0,1.7494849521486213,1.8695405119748045
47,0.47600000000000003,1.0,1.0,1.0,4.0,1.0,1.7633542497615209,1.885965446706704
48,0.484,1.0,1.0,1.0,4.0,1.0,1.7769790000948427,1.9021435847358634
49,0.49200000000000005,1.0,1.0,1.0,4.0,1.0,1.790351582698618,1.9180663269138092
